countryID,medelID,grothID,CountrySizeID,GDP(pc),wealthID,numberofhost,medel for strongest sport,2021 gode medel,GDPgrowth(pc),Average Athlete Medals,Average Team Medals,AthleteteamID
123,3,2,2,269.897911950197,3,0,3,0,-19.74842848,1.3333333333333333,0.0,1
124,3,1,2,87128.5946772,2,0,18,3,5.097385401,2.2142857142857144,2.3333333333333335,2
125,3,2,2,418.4251400687179,3,0,0,0,-3.465477977,0.0,0.0,0
126,3,2,2,5359.871613100569,3,0,0,0,-2.11716851,0.0,0.0,0
127,3,2,2,669.5415183104808,3,0,3,0,-18.85438221,1.5,0.0,1
128,3,2,2,2974.2489634265703,3,0,3,0,-7.169356849,1.0,0.0,1
129,3,2,2,1550.2391319363933,3,0,10,5,-8.183444642,3.1818181818181817,3.5714285714285716,2
130,3,3,3,0.0,3,0,1,0,0.0,1.0,0.0,1
131,3,2,2,543.9043561567723,3,0,19,2,-6.824432632,5.714285714285714,0.0,1
132,3,2,2,549.7268234358728,3,0,11,0,-6.351240603,2.5,0.0,1
133,3,2,2,2149.355976581627,3,0,6,0,-6.281483198,1.0,1.6,2
134,3,2,3,529.6017939469018,3,0,3,0,-7.263269768,1.25,2.0,2
135,3,3,2,0.0,3,0,6,1,0.0,1.25,0.0,1
136,3,2,2,2193.505579171488,3,0,0,0,-1.778703887,0.0,0.0,0
137,3,2,3,238.40518478719747,3,0,0,0,-1.953083669,0.0,0.0,0
138,3,2,3,1426.6214154482786,3,0,0,0,-2.745238678,0.0,0.0,0
139,3,2,3,440.68477091160474,3,0,85,4,-10.1128523,4.125,2.0,1
140,3,2,3,584.8700546960855,3,0,9,0,-6.704049318,3.0,0.0,1
141,3,2,3,17409.482507037916,3,0,4,2,-2.005009486,1.4,2.0,2
142,3,2,3,515.2071607837939,3,0,2,0,-10.40331706,1.0,1.0,0
143,3,2,3,19415.829810928422,3,0,6,0,-0.048831011,2.7142857142857144,2.75,2
144,3,2,3,398.5484161134937,3,0,5,0,-9.66882124,1.6666666666666667,0.0,1
145,3,2,3,1344.2003932295288,3,0,1,0,-3.969558634,1.0,0.0,1
146,3,2,3,120.31899873954785,3,0,0,0,-6.808444709,0.0,0.0,0
147,3,2,3,126.90614117857675,3,0,0,0,-4.596719957,0.0,0.0,0
148,3,2,3,4286.08489702943,3,0,9,3,-4.960040833,3.6666666666666665,2.0,1
149,3,2,3,861.7733697118631,3,0,1,0,-5.922295863,1.0,0.0,1
150,3,2,3,7239.962270920168,3,0,7,1,-1.514811398,1.8333333333333333,2.3333333333333335,2
151,3,2,3,808.9032603154997,3,0,0,0,-6.822442154,0.0,0.0,0
152,3,2,3,1618.9517097243895,3,0,15,0,-7.568382946,1.5,1.3333333333333333,1
153,3,2,3,5132.555282967106,3,0,4,0,-3.565598605,1.3333333333333333,0.0,1
154,3,1,3,1693.51447518,3,0,0,0,29.92997972,0.0,0.0,0
155,3,2,3,13504.00133019707,3,0,11,1,-0.747277944,2.7857142857142856,1.4,1
156,3,2,3,577.2971025678231,3,0,1,0,-14.59935427,1.0,0.0,1
157,3,2,3,4346.450093680454,3,0,1,0,-5.450317794,1.0,0.0,1
158,3,2,3,969.1420064066004,3,0,0,0,-2.480299705,0.0,0.0,0
159,3,2,3,2247.4849150264654,3,0,1,0,-0.298338539,1.0,0.0,1
160,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
161,3,2,3,267.6010292862208,3,0,2,1,-17.17670889,0.0,1.5,2
162,3,2,3,494.19683826294977,3,0,0,0,-2.074861396,0.0,0.0,0
163,3,1,3,7000.33583292,3,0,1,0,43.75870325,1.0,0.0,1
164,3,2,3,259.5293310145461,3,0,0,0,-10.59763139,0.0,0.0,0
165,3,2,3,334.4376295831141,3,0,0,0,-5.645371054,0.0,0.0,0
166,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
167,3,2,3,34151.00685356072,2,0,2,0,-2.436809269,1.25,0.0,1
168,3,2,3,267.79202528837806,3,0,2,0,-16.91141207,1.0,0.0,1
169,3,2,3,473.66389126298645,3,0,1,0,-15.20847458,0.0,1.0,2
170,3,2,3,152.9299212245978,3,0,0,0,-20.07982255,0.0,0.0,0
171,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
172,3,2,3,2514.5789277319145,3,0,0,0,-10.61108026,0.0,0.0,0
173,3,2,3,203.55151909059006,3,0,0,0,-34.77655892,0.0,0.0,0
174,3,1,3,27722.931308400002,3,0,0,0,0.291718917,0.0,0.0,0
175,3,2,3,335.88772890905904,3,0,0,0,-14.68046614,0.0,0.0,0
176,3,2,3,965.0119809636345,3,0,14,2,-23.86836277,1.3333333333333333,1.4285714285714286,2
177,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
178,3,2,3,6041.314963189776,3,0,2,0,-8.73526415,1.0,1.0,0
179,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
180,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
181,3,2,3,355.3093043107595,3,0,0,0,-7.211878534,0.0,0.0,0
182,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
183,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
184,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
185,3,2,3,1150.2717580745757,3,0,1,0,-13.46945599,1.0,0.0,1
186,3,1,3,2204.5364050199996,3,0,0,0,1.119960636,0.0,0.0,0
187,3,2,3,738.8441710314116,3,0,1,0,-4.471685199,1.0,0.0,1
188,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
189,3,2,3,329.8564243587187,3,0,0,0,-24.64168662,0.0,0.0,0
190,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
191,3,2,3,320.1538461019253,3,0,0,0,-3.38537208,0.0,0.0,0
192,3,2,3,547.4836279490108,3,0,3,0,-14.41148694,1.0,0.0,1
193,3,2,3,1069.6416007944877,3,0,0,0,-2.402459942,0.0,0.0,0
194,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
195,3,1,3,4698.09029556,3,0,1,0,0.19936359,1.0,0.0,1
196,3,2,3,1152.9161044062378,3,0,0,0,-9.425755928,0.0,0.0,0
197,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
198,3,2,3,1857.9337976541492,3,0,0,0,-3.470755412,0.0,0.0,0
199,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
200,3,2,3,804.9203579979286,3,0,0,0,-17.98917356,0.0,0.0,0
201,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
202,3,2,3,2708.919686653739,3,0,0,0,-12.73507756,0.0,0.0,0
203,3,2,3,383.506047919662,3,0,0,0,-17.26169347,0.0,0.0,0
204,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
205,3,3,3,0.0,3,0,1,1,0.0,1.0,0.0,1
206,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
207,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
208,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
209,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
210,3,2,3,1205.1981801548345,3,0,0,0,-14.40495012,0.0,0.0,0
211,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
212,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
213,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
214,3,1,3,5679.33218154,3,0,0,0,1.131667361,0.0,0.0,0
215,3,3,3,0.0,3,0,10,0,0.0,2.0,0.0,1
216,3,2,3,13322.800467881416,1,0,0,0,-12.70112125,0.0,0.0,0
217,3,2,3,6313.50290479467,3,0,3,0,-6.178501365,2.0,2.0,0
218,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
219,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
220,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
221,3,2,3,1348.9580520166407,3,0,0,0,-9.390425024,0.0,0.0,0
222,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
223,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
224,3,1,3,10327.194510000001,3,0,0,0,2.688329652,0.0,0.0,0
225,3,2,3,747.7389594794239,3,0,0,0,-5.252060333,0.0,0.0,0
226,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
227,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
228,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
229,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
230,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
231,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
232,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
233,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
