countryID,medelID,grothID,CountrySizeID,GDP(pc),wealthID,numberofhost,medel for strongest sport,2021 gode medel,GDPgrowth(pc),Average Athlete Medals,Average Team Medals,AthleteteamID
219,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
220,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
221,3,2,3,14016.2475,3,0,0,0,-9.390425024,0.0,0.0,0
222,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
223,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
224,3,1,3,10124.7005,3,0,0,0,2.688329652,0.0,0.0,0
225,3,2,3,4674.909088,3,0,0,0,-5.252060333,0.0,0.0,0
226,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
227,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
228,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
229,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
230,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
231,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
232,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
233,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
